Date,Close,,Date,Close,,Date,Close
01/01/2025 23:58:00,93462.86,,01/01/2025 23:58:00,3331.2798,,01/01/2025 23:58:00,189.2335
02/01/2025 23:58:00,95642.54,,02/01/2025 23:58:00,3353.1751,,02/01/2025 23:58:00,193.8516
03/01/2025 23:58:00,96732.46,,03/01/2025 23:58:00,3451.7503,,03/01/2025 23:58:00,207.8083
04/01/2025 23:58:00,97942.97,,04/01/2025 23:58:00,3607.4265,,04/01/2025 23:58:00,217.7616
05/01/2025 23:58:00,98355.51,,05/01/2025 23:58:00,3656.4304,,05/01/2025 23:58:00,216.6486
06/01/2025 23:58:00,99424.66,,06/01/2025 23:58:00,3634.9629,,06/01/2025 23:58:00,213.3951
07/01/2025 23:58:00,101731,,07/01/2025 23:58:00,3689.1357,,07/01/2025 23:58:00,218.3706
08/01/2025 23:58:00,96294.37,,08/01/2025 23:58:00,3380.7317,,08/01/2025 23:58:00,202.2026
09/01/2025 23:58:00,94409.58,,09/01/2025 23:58:00,3326.6026,,09/01/2025 23:58:00,197.5763
10/01/2025 23:58:00,93850.97,,10/01/2025 23:58:00,3219.1578,,10/01/2025 23:58:00,185.0276
11/01/2025 23:58:00,94033.5,,11/01/2025 23:58:00,3266.3219,,11/01/2025 23:58:00,187.5755
12/01/2025 23:58:00,94575.31,,12/01/2025 23:58:00,3281.9305,,12/01/2025 23:58:00,187.9971
13/01/2025 23:58:00,94559.12,,13/01/2025 23:58:00,3265.5751,,13/01/2025 23:58:00,188.5192
14/01/2025 23:58:00,95099.77,,14/01/2025 23:58:00,3136.445,,14/01/2025 23:58:00,182.8464
15/01/2025 23:58:00,97176.71,,15/01/2025 23:58:00,3223.8939,,15/01/2025 23:58:00,187.5167
16/01/2025 23:58:00,99576.98,,16/01/2025 23:58:00,3450.5268,,16/01/2025 23:58:00,205.909
17/01/2025 23:58:00,101413.4,,17/01/2025 23:58:00,3307.6008,,17/01/2025 23:58:00,211.1988
18/01/2025 23:58:00,103545.4,,18/01/2025 23:58:00,3474.0668,,18/01/2025 23:58:00,219.6059
19/01/2025 23:58:00,104841,,19/01/2025 23:58:00,3305.1557,,19/01/2025 23:58:00,261.7841
20/01/2025 23:58:00,102194.9,,20/01/2025 23:58:00,3212.8843,,20/01/2025 23:58:00,251.288
21/01/2025 23:58:00,102204.3,,21/01/2025 23:58:00,3280.3702,,21/01/2025 23:58:00,242.2984
22/01/2025 23:58:00,105559.4,,22/01/2025 23:58:00,3327.8592,,22/01/2025 23:58:00,250.419
